"Step","robust-puddle-9 - psnr","robust-puddle-9 - psnr__MIN","robust-puddle-9 - psnr__MAX"
"146","34.83271026611328","34.83271026611328","34.83271026611328"
"147","34.84165954589844","34.84165954589844","34.84165954589844"
"148","34.85379409790039","34.85379409790039","34.85379409790039"
"149","34.837284088134766","34.837284088134766","34.837284088134766"
"150","34.85872268676758","34.85872268676758","34.85872268676758"
"151","34.84218215942383","34.84218215942383","34.84218215942383"
"153","30.448654174804688","30.448654174804688","30.448654174804688"
"154","34.54206085205078","34.54206085205078","34.54206085205078"
"155","34.620567321777344","34.620567321777344","34.620567321777344"
"156","34.653282165527344","34.653282165527344","34.653282165527344"
"157","34.67365264892578","34.67365264892578","34.67365264892578"
"158","34.67706298828125","34.67706298828125","34.67706298828125"
"159","34.706809997558594","34.706809997558594","34.706809997558594"
"160","34.71419906616211","34.71419906616211","34.71419906616211"
"161","34.71322250366211","34.71322250366211","34.71322250366211"
"162","34.727664947509766","34.727664947509766","34.727664947509766"
"163","34.73280334472656","34.73280334472656","34.73280334472656"
"164","34.74112319946289","34.74112319946289","34.74112319946289"
"165","34.739505767822266","34.739505767822266","34.739505767822266"
"166","34.74619674682617","34.74619674682617","34.74619674682617"
"167","34.745445251464844","34.745445251464844","34.745445251464844"
"168","34.763916015625","34.763916015625","34.763916015625"
"169","34.75363540649414","34.75363540649414","34.75363540649414"
"170","34.74943542480469","34.74943542480469","34.74943542480469"
"171","34.75625991821289","34.75625991821289","34.75625991821289"
"172","34.76458740234375","34.76458740234375","34.76458740234375"
"173","34.757205963134766","34.757205963134766","34.757205963134766"
"174","34.769309997558594","34.769309997558594","34.769309997558594"
"175","34.76866149902344","34.76866149902344","34.76866149902344"
"176","34.75893020629883","34.75893020629883","34.75893020629883"
"177","34.768985748291016","34.768985748291016","34.768985748291016"
"178","34.772552490234375","34.772552490234375","34.772552490234375"
"179","34.771461486816406","34.771461486816406","34.771461486816406"
"180","34.761024475097656","34.761024475097656","34.761024475097656"
"181","34.77430725097656","34.77430725097656","34.77430725097656"
"182","34.76237487792969","34.76237487792969","34.76237487792969"
"183","34.76844787597656","34.76844787597656","34.76844787597656"
"184","34.772769927978516","34.772769927978516","34.772769927978516"
"185","34.775264739990234","34.775264739990234","34.775264739990234"
"186","34.78427505493164","34.78427505493164","34.78427505493164"
"187","34.774314880371094","34.774314880371094","34.774314880371094"
"188","34.77141189575195","34.77141189575195","34.77141189575195"
"189","34.785587310791016","34.785587310791016","34.785587310791016"
"190","34.77433395385742","34.77433395385742","34.77433395385742"
"191","34.78504180908203","34.78504180908203","34.78504180908203"
"192","34.77813720703125","34.77813720703125","34.77813720703125"
"193","34.773216247558594","34.773216247558594","34.773216247558594"
"194","34.785614013671875","34.785614013671875","34.785614013671875"
"195","34.769657135009766","34.769657135009766","34.769657135009766"
"196","34.78166580200195","34.78166580200195","34.78166580200195"
"197","34.789669036865234","34.789669036865234","34.789669036865234"
"198","34.78476333618164","34.78476333618164","34.78476333618164"
"199","34.78321838378906","34.78321838378906","34.78321838378906"
"200","34.78363037109375","34.78363037109375","34.78363037109375"
"201","34.78920364379883","34.78920364379883","34.78920364379883"
"202","34.78990173339844","34.78990173339844","34.78990173339844"
"204","30.554115295410156","30.554115295410156","30.554115295410156"
"205","34.42864990234375","34.42864990234375","34.42864990234375"
"206","34.51929473876953","34.51929473876953","34.51929473876953"
"207","34.55508804321289","34.55508804321289","34.55508804321289"
"208","34.569091796875","34.569091796875","34.569091796875"
"209","34.60517883300781","34.60517883300781","34.60517883300781"
"210","34.59303665161133","34.59303665161133","34.59303665161133"
"211","34.61708450317383","34.61708450317383","34.61708450317383"
"212","34.60641860961914","34.60641860961914","34.60641860961914"
"213","34.613975524902344","34.613975524902344","34.613975524902344"
"214","34.62022018432617","34.62022018432617","34.62022018432617"
"215","34.62515640258789","34.62515640258789","34.62515640258789"
"216","34.63437271118164","34.63437271118164","34.63437271118164"
"217","34.637821197509766","34.637821197509766","34.637821197509766"
"218","34.63287353515625","34.63287353515625","34.63287353515625"
"219","34.650020599365234","34.650020599365234","34.650020599365234"
"220","34.63646697998047","34.63646697998047","34.63646697998047"
"221","34.65167236328125","34.65167236328125","34.65167236328125"
"222","34.64512252807617","34.64512252807617","34.64512252807617"
"223","34.636043548583984","34.636043548583984","34.636043548583984"
"224","34.64291763305664","34.64291763305664","34.64291763305664"
"225","34.651039123535156","34.651039123535156","34.651039123535156"
"226","34.64306640625","34.64306640625","34.64306640625"
"227","34.65486145019531","34.65486145019531","34.65486145019531"
"228","34.640403747558594","34.640403747558594","34.640403747558594"
"229","34.6447868347168","34.6447868347168","34.6447868347168"
"230","34.63225173950195","34.63225173950195","34.63225173950195"
"231","34.65079116821289","34.65079116821289","34.65079116821289"
"232","34.64933395385742","34.64933395385742","34.64933395385742"
"233","34.653316497802734","34.653316497802734","34.653316497802734"
"234","34.65583038330078","34.65583038330078","34.65583038330078"
"235","34.65228271484375","34.65228271484375","34.65228271484375"
"236","34.645320892333984","34.645320892333984","34.645320892333984"
"237","34.6533088684082","34.6533088684082","34.6533088684082"
"238","34.66413116455078","34.66413116455078","34.66413116455078"
"239","34.6568717956543","34.6568717956543","34.6568717956543"
"240","34.65321350097656","34.65321350097656","34.65321350097656"
"241","34.65646743774414","34.65646743774414","34.65646743774414"
"242","34.66551971435547","34.66551971435547","34.66551971435547"
"243","34.66325378417969","34.66325378417969","34.66325378417969"
"244","34.66115951538086","34.66115951538086","34.66115951538086"
"245","34.663848876953125","34.663848876953125","34.663848876953125"
"246","34.66469955444336","34.66469955444336","34.66469955444336"
"247","34.66641616821289","34.66641616821289","34.66641616821289"
"248","34.65424728393555","34.65424728393555","34.65424728393555"
"249","34.66826629638672","34.66826629638672","34.66826629638672"
"250","34.66245651245117","34.66245651245117","34.66245651245117"
"251","34.66845703125","34.66845703125","34.66845703125"
"252","34.66876220703125","34.66876220703125","34.66876220703125"
